family,timesteps,runs,episodes,mean_reward,median_reward,std_reward,min_reward,max_reward,mean_steps,median_steps,mean_reward_per_step,median_reward_per_step,sem_reward,ci95_reward
dqn,500000,3,150,795.6,680.0,301.5362900683564,410.0,1390.0,684.5466666666666,663.0,1.1750346390384536,1.1801636791233456,24.6203349866444,48.255856573823024
dqn,1000000,3,150,820.4666666666667,780.0,168.0257916710011,430.0,1150.0,634.7066666666667,534.0,1.3414969990777192,1.3243761996161227,13.719248440704678,26.88972694378117
random,0,0,50,280.0,230.0,168.75292892393946,140.0,1010.0,505.92,499.0,0.5341549218301598,0.47046874401134486,23.86526807744181,46.77592543178595
reward_alpha0p001_beta1,500000,3,150,658.5333333333333,580.0,349.226156347724,130.0,1420.0,557.04,560.5,1.1300567130414239,1.103202846975089,28.514196262844813,55.88782467517583
reward_alpha0p001_beta1,1000000,3,150,1268.3333333333333,1000.0,722.0686322086616,540.0,2510.0,720.8666666666667,634.0,1.7199712741179725,1.382034910463004,58.956656939353195,115.55504760113226
