comparison,pairs,training_seeds,mean_diff_reward,median_diff_reward,std_diff_reward,mean_pct_change,mean_diff_reward_per_step,mean_diff_steps,sem_diff_reward,ci95_diff_reward
dqn_1m_minus_dqn_500k,150,3,24.866666666666667,100.0,398.1917798150839,21.803632873094468,0.1664623600392656,-49.84,32.512222677254194,63.72395644741822
reward_1m_minus_dqn_1m,150,3,447.8666666666667,210.0,651.9918748893275,51.92939652652053,0.3784742750402531,86.16,53.23491366397936,104.34043078139955
reward_1m_minus_dqn_500k,150,3,472.73333333333335,90.0,652.1774542004174,70.37390435044841,0.5449366350795187,36.32,53.25006615127894,104.37012965650673
reward_1m_minus_reward_500k,150,3,609.8,520.0,595.7607172470883,134.24630674787696,0.5899145610765485,163.82666666666665,48.64365886832974,95.34157138192629
reward_500k_minus_dqn_500k,150,3,-137.06666666666666,-60.0,453.543167649674,-6.04484105355308,-0.044977925997029766,-127.50666666666666,37.03164456890892,72.5820233550615
