training_seed,seed,dqn_500k_reward,dqn_500k_reward_per_step,dqn_500k_steps,dqn_1m_reward,dqn_1m_reward_per_step,dqn_1m_steps,comparison,diff_reward,pct_reward_change,diff_reward_per_step,diff_steps,reward_500k_reward,reward_500k_reward_per_step,reward_500k_steps,reward_1m_reward,reward_1m_reward_per_step,reward_1m_steps
123,1029,1390.0,1.6181606519208382,859.0,760.0,1.208267090620032,629.0,dqn_1m_minus_dqn_500k,-630.0,-45.32374100719424,-0.40989356130080634,-230,,,,,,
123,1030,850.0,0.8919202518363064,953.0,810.0,1.6297786720321932,497.0,dqn_1m_minus_dqn_500k,-40.0,-4.705882352941177,0.7378584201958868,-456,,,,,,
123,1031,850.0,0.8900523560209425,955.0,810.0,1.623246492985972,499.0,dqn_1m_minus_dqn_500k,-40.0,-4.705882352941177,0.7331941369650296,-456,,,,,,
123,1032,1390.0,1.6162790697674418,860.0,760.0,1.2063492063492065,630.0,dqn_1m_minus_dqn_500k,-630.0,-45.32374100719424,-0.40992986341823534,-230,,,,,,
123,1033,1240.0,1.7270194986072422,718.0,430.0,1.1197916666666667,384.0,dqn_1m_minus_dqn_500k,-810.0,-65.32258064516128,-0.6072278319405755,-334,,,,,,
123,1034,1390.0,1.6162790697674418,860.0,760.0,1.2063492063492065,630.0,dqn_1m_minus_dqn_500k,-630.0,-45.32374100719424,-0.40992986341823534,-230,,,,,,
123,1035,1240.0,1.7270194986072422,718.0,430.0,1.1197916666666667,384.0,dqn_1m_minus_dqn_500k,-810.0,-65.32258064516128,-0.6072278319405755,-334,,,,,,
123,1036,850.0,0.8919202518363064,953.0,810.0,1.6297786720321932,497.0,dqn_1m_minus_dqn_500k,-40.0,-4.705882352941177,0.7378584201958868,-456,,,,,,
123,1037,850.0,0.8891213389121339,956.0,810.0,1.62,500.0,dqn_1m_minus_dqn_500k,-40.0,-4.705882352941177,0.7308786610878663,-456,,,,,,
123,1038,1390.0,1.6181606519208382,859.0,760.0,1.208267090620032,629.0,dqn_1m_minus_dqn_500k,-630.0,-45.32374100719424,-0.40989356130080634,-230,,,,,,
123,1039,940.0,1.185372005044136,793.0,1150.0,0.941850941850942,1221.0,dqn_1m_minus_dqn_500k,210.0,22.340425531914892,-0.2435210631931941,428,,,,,,
123,1040,1240.0,1.712707182320442,724.0,430.0,1.1025641025641026,390.0,dqn_1m_minus_dqn_500k,-810.0,-65.32258064516128,-0.6101430797563394,-334,,,,,,
123,1041,940.0,1.1809045226130652,796.0,1150.0,0.9395424836601308,1224.0,dqn_1m_minus_dqn_500k,210.0,22.340425531914892,-0.2413620389529344,428,,,,,,
123,1042,940.0,1.179422835633626,797.0,1150.0,0.9387755102040816,1225.0,dqn_1m_minus_dqn_500k,210.0,22.340425531914892,-0.24064732542954448,428,,,,,,
123,1043,1390.0,1.6125290023201857,862.0,760.0,1.2025316455696202,632.0,dqn_1m_minus_dqn_500k,-630.0,-45.32374100719424,-0.4099973567505655,-230,,,,,,
123,1044,1390.0,1.6219369894982496,857.0,760.0,1.2121212121212122,627.0,dqn_1m_minus_dqn_500k,-630.0,-45.32374100719424,-0.40981577737703745,-230,,,,,,
123,1045,940.0,1.1883691529709228,791.0,1150.0,0.9433962264150944,1219.0,dqn_1m_minus_dqn_500k,210.0,22.340425531914892,-0.24497292655582847,428,,,,,,
123,1046,1390.0,1.62004662004662,858.0,760.0,1.2101910828025475,628.0,dqn_1m_minus_dqn_500k,-630.0,-45.32374100719424,-0.4098555372440724,-230,,,,,,
123,1047,1390.0,1.6106604866743917,863.0,760.0,1.2006319115323856,633.0,dqn_1m_minus_dqn_500k,-630.0,-45.32374100719424,-0.4100285751420061,-230,,,,,,
123,1048,1390.0,1.6125290023201857,862.0,760.0,1.2025316455696202,632.0,dqn_1m_minus_dqn_500k,-630.0,-45.32374100719424,-0.4099973567505655,-230,,,,,,
123,1049,1390.0,1.6106604866743917,863.0,760.0,1.2006319115323856,633.0,dqn_1m_minus_dqn_500k,-630.0,-45.32374100719424,-0.4100285751420061,-230,,,,,,
456,1000,600.0,1.2765957446808511,470.0,830.0,1.1155913978494625,744.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.16100434683138865,274,,,,,,
456,1001,680.0,1.3737373737373737,495.0,780.0,1.4744801512287335,529.0,dqn_1m_minus_dqn_500k,100.0,14.705882352941178,0.10074277749135985,34,,,,,,
456,1002,680.0,1.3627254509018036,499.0,780.0,1.4634146341463414,533.0,dqn_1m_minus_dqn_500k,100.0,14.705882352941178,0.1006891832445378,34,,,,,,
456,1003,680.0,1.3545816733067728,502.0,780.0,1.455223880597015,536.0,dqn_1m_minus_dqn_500k,100.0,14.705882352941178,0.1006422072902422,34,,,,,,
456,1004,680.0,1.36,500.0,780.0,1.4606741573033708,534.0,dqn_1m_minus_dqn_500k,100.0,14.705882352941178,0.1006741573033707,34,,,,,,
456,1005,630.0,0.9531013615733736,661.0,670.0,1.4285714285714286,469.0,dqn_1m_minus_dqn_500k,40.0,6.349206349206349,0.47547006699805505,-192,,,,,,
456,1006,750.0,1.5274949083503055,491.0,690.0,1.3142857142857145,525.0,dqn_1m_minus_dqn_500k,-60.0,-8.0,-0.21320919406459105,34,,,,,,
456,1007,630.0,0.9531013615733736,661.0,670.0,1.4285714285714286,469.0,dqn_1m_minus_dqn_500k,40.0,6.349206349206349,0.47547006699805505,-192,,,,,,
456,1008,750.0,1.536885245901639,488.0,690.0,1.3218390804597702,522.0,dqn_1m_minus_dqn_500k,-60.0,-8.0,-0.21504616544186894,34,,,,,,
456,1009,600.0,1.2605042016806722,476.0,830.0,1.106666666666667,750.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.15383753501400532,274,,,,,,
456,1010,750.0,1.5432098765432098,486.0,690.0,1.3269230769230769,520.0,dqn_1m_minus_dqn_500k,-60.0,-8.0,-0.21628679962013297,34,,,,,,
456,1011,630.0,0.9502262443438914,663.0,670.0,1.4225053078556262,471.0,dqn_1m_minus_dqn_500k,40.0,6.349206349206349,0.4722790635117349,-192,,,,,,
456,1012,680.0,1.3545816733067728,502.0,780.0,1.455223880597015,536.0,dqn_1m_minus_dqn_500k,100.0,14.705882352941178,0.1006422072902422,34,,,,,,
456,1013,750.0,1.540041067761807,487.0,690.0,1.3243761996161227,521.0,dqn_1m_minus_dqn_500k,-60.0,-8.0,-0.2156648681456843,34,,,,,,
456,1014,750.0,1.530612244897959,490.0,690.0,1.316793893129771,524.0,dqn_1m_minus_dqn_500k,-60.0,-8.0,-0.2138183517681882,34,,,,,,
456,1015,680.0,1.3737373737373737,495.0,780.0,1.4744801512287335,529.0,dqn_1m_minus_dqn_500k,100.0,14.705882352941178,0.10074277749135985,34,,,,,,
456,1016,630.0,0.9574468085106383,658.0,670.0,1.4377682403433476,466.0,dqn_1m_minus_dqn_500k,40.0,6.349206349206349,0.48032143183270926,-192,,,,,,
456,1017,630.0,0.9516616314199396,662.0,670.0,1.425531914893617,470.0,dqn_1m_minus_dqn_500k,40.0,6.349206349206349,0.4738702834736773,-192,,,,,,
456,1018,750.0,1.5337423312883436,489.0,690.0,1.3193116634799236,523.0,dqn_1m_minus_dqn_500k,-60.0,-8.0,-0.21443066780842002,34,,,,,,
456,1019,680.0,1.3737373737373737,495.0,780.0,1.4744801512287335,529.0,dqn_1m_minus_dqn_500k,100.0,14.705882352941178,0.10074277749135985,34,,,,,,
456,1020,600.0,1.279317697228145,469.0,830.0,1.117092866756393,743.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.16222483047175196,274,,,,,,
456,1021,630.0,0.9574468085106383,658.0,670.0,1.4377682403433476,466.0,dqn_1m_minus_dqn_500k,40.0,6.349206349206349,0.48032143183270926,-192,,,,,,
456,1022,750.0,1.530612244897959,490.0,690.0,1.316793893129771,524.0,dqn_1m_minus_dqn_500k,-60.0,-8.0,-0.2138183517681882,34,,,,,,
456,1023,750.0,1.540041067761807,487.0,690.0,1.3243761996161227,521.0,dqn_1m_minus_dqn_500k,-60.0,-8.0,-0.2156648681456843,34,,,,,,
456,1024,680.0,1.3709677419354838,496.0,780.0,1.471698113207547,530.0,dqn_1m_minus_dqn_500k,100.0,14.705882352941178,0.1007303712720633,34,,,,,,
456,1025,600.0,1.271186440677966,472.0,830.0,1.1126005361930296,746.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.15858590448493648,274,,,,,,
456,1026,600.0,1.2765957446808511,470.0,830.0,1.1155913978494625,744.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.16100434683138865,274,,,,,,
456,1027,750.0,1.5337423312883436,489.0,690.0,1.3193116634799236,523.0,dqn_1m_minus_dqn_500k,-60.0,-8.0,-0.21443066780842002,34,,,,,,
456,1028,680.0,1.36,500.0,780.0,1.4606741573033708,534.0,dqn_1m_minus_dqn_500k,100.0,14.705882352941178,0.1006741573033707,34,,,,,,
456,1029,600.0,1.2738853503184713,471.0,830.0,1.1140939597315436,745.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.1597913905869277,274,,,,,,
456,1030,750.0,1.540041067761807,487.0,690.0,1.3243761996161227,521.0,dqn_1m_minus_dqn_500k,-60.0,-8.0,-0.2156648681456843,34,,,,,,
456,1031,750.0,1.5337423312883436,489.0,690.0,1.3193116634799236,523.0,dqn_1m_minus_dqn_500k,-60.0,-8.0,-0.21443066780842002,34,,,,,,
456,1032,600.0,1.271186440677966,472.0,830.0,1.1126005361930296,746.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.15858590448493648,274,,,,,,
456,1033,630.0,0.9574468085106383,658.0,670.0,1.4377682403433476,466.0,dqn_1m_minus_dqn_500k,40.0,6.349206349206349,0.48032143183270926,-192,,,,,,
456,1034,600.0,1.271186440677966,472.0,830.0,1.1126005361930296,746.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.15858590448493648,274,,,,,,
456,1035,630.0,0.9574468085106383,658.0,670.0,1.4377682403433476,466.0,dqn_1m_minus_dqn_500k,40.0,6.349206349206349,0.48032143183270926,-192,,,,,,
456,1036,750.0,1.540041067761807,487.0,690.0,1.3243761996161227,521.0,dqn_1m_minus_dqn_500k,-60.0,-8.0,-0.2156648681456843,34,,,,,,
456,1037,750.0,1.530612244897959,490.0,690.0,1.316793893129771,524.0,dqn_1m_minus_dqn_500k,-60.0,-8.0,-0.2138183517681882,34,,,,,,
456,1038,600.0,1.2738853503184713,471.0,830.0,1.1140939597315436,745.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.1597913905869277,274,,,,,,
456,1039,680.0,1.3682092555331993,497.0,780.0,1.4689265536723164,531.0,dqn_1m_minus_dqn_500k,100.0,14.705882352941178,0.10071729813911712,34,,,,,,
456,1040,630.0,0.9487951807228916,664.0,670.0,1.4194915254237288,472.0,dqn_1m_minus_dqn_500k,40.0,6.349206349206349,0.4706963447008372,-192,,,,,,
456,1041,680.0,1.36,500.0,780.0,1.4606741573033708,534.0,dqn_1m_minus_dqn_500k,100.0,14.705882352941178,0.1006741573033707,34,,,,,,
456,1042,680.0,1.3572854291417165,501.0,780.0,1.4579439252336448,535.0,dqn_1m_minus_dqn_500k,100.0,14.705882352941178,0.10065849609192834,34,,,,,,
456,1043,600.0,1.2658227848101269,474.0,830.0,1.109625668449198,748.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.1561971163609288,274,,,,,,
456,1044,600.0,1.279317697228145,469.0,830.0,1.117092866756393,743.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.16222483047175196,274,,,,,,
456,1045,680.0,1.3737373737373737,495.0,780.0,1.4744801512287335,529.0,dqn_1m_minus_dqn_500k,100.0,14.705882352941178,0.10074277749135985,34,,,,,,
456,1046,600.0,1.2765957446808511,470.0,830.0,1.1155913978494625,744.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.16100434683138865,274,,,,,,
456,1047,600.0,1.263157894736842,475.0,830.0,1.1081441922563418,749.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.15501370248050028,274,,,,,,
456,1048,600.0,1.2658227848101269,474.0,830.0,1.109625668449198,748.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.1561971163609288,274,,,,,,
456,1049,600.0,1.263157894736842,475.0,830.0,1.1081441922563418,749.0,dqn_1m_minus_dqn_500k,230.0,38.333333333333336,-0.15501370248050028,274,,,,,,
789,1000,410.0,0.6231003039513677,658.0,960.0,1.5,640.0,dqn_1m_minus_dqn_500k,550.0,134.14634146341464,0.8768996960486323,-18,,,,,,
789,1001,460.0,1.0823529411764703,425.0,1030.0,1.279503105590062,805.0,dqn_1m_minus_dqn_500k,570.0,123.91304347826086,0.1971501644135918,380,,,,,,
789,1002,460.0,1.0722610722610724,429.0,1030.0,1.273176761433869,809.0,dqn_1m_minus_dqn_500k,570.0,123.91304347826086,0.20091568917279656,380,,,,,,
789,1003,460.0,1.0648148148148149,432.0,1030.0,1.2684729064039408,812.0,dqn_1m_minus_dqn_500k,570.0,123.91304347826086,0.20365809158912596,380,,,,,,
789,1004,460.0,1.069767441860465,430.0,1030.0,1.271604938271605,810.0,dqn_1m_minus_dqn_500k,570.0,123.91304347826086,0.20183749641114002,380,,,,,,
789,1005,1150.0,1.0777881911902532,1067.0,770.0,1.5876288659793814,485.0,dqn_1m_minus_dqn_500k,-380.0,-33.04347826086956,0.5098406747891282,-582,,,,,,
789,1006,640.0,0.8590604026845637,745.0,770.0,1.5811088295687885,487.0,dqn_1m_minus_dqn_500k,130.0,20.3125,0.7220484268842248,-258,,,,,,
789,1007,1150.0,1.0777881911902532,1067.0,770.0,1.5876288659793814,485.0,dqn_1m_minus_dqn_500k,-380.0,-33.04347826086956,0.5098406747891282,-582,,,,,,
789,1008,640.0,0.862533692722372,742.0,770.0,1.5909090909090908,484.0,dqn_1m_minus_dqn_500k,130.0,20.3125,0.7283753981867188,-258,,,,,,
789,1009,410.0,0.6174698795180723,664.0,960.0,1.4860681114551084,646.0,dqn_1m_minus_dqn_500k,550.0,134.14634146341464,0.8685982319370361,-18,,,,,,
789,1010,640.0,0.8648648648648649,740.0,770.0,1.5975103734439835,482.0,dqn_1m_minus_dqn_500k,130.0,20.3125,0.7326455085791186,-258,,,,,,
789,1011,1150.0,1.0757717492984098,1069.0,770.0,1.5811088295687885,487.0,dqn_1m_minus_dqn_500k,-380.0,-33.04347826086956,0.5053370802703787,-582,,,,,,
789,1012,460.0,1.0648148148148149,432.0,1030.0,1.2684729064039408,812.0,dqn_1m_minus_dqn_500k,570.0,123.91304347826086,0.20365809158912596,380,,,,,,
789,1013,640.0,0.863697705802969,741.0,770.0,1.5942028985507246,483.0,dqn_1m_minus_dqn_500k,130.0,20.3125,0.7305051927477556,-258,,,,,,
789,1014,640.0,0.8602150537634409,744.0,770.0,1.5843621399176957,486.0,dqn_1m_minus_dqn_500k,130.0,20.3125,0.7241470861542548,-258,,,,,,
789,1015,460.0,1.0823529411764703,425.0,1030.0,1.279503105590062,805.0,dqn_1m_minus_dqn_500k,570.0,123.91304347826086,0.1971501644135918,380,,,,,,
789,1016,1150.0,1.080827067669173,1064.0,770.0,1.5975103734439835,482.0,dqn_1m_minus_dqn_500k,-380.0,-33.04347826086956,0.5166833057748106,-582,,,,,,
789,1017,1150.0,1.0767790262172283,1068.0,770.0,1.5843621399176957,486.0,dqn_1m_minus_dqn_500k,-380.0,-33.04347826086956,0.5075831137004674,-582,,,,,,
789,1018,640.0,0.8613728129205922,743.0,770.0,1.5876288659793814,485.0,dqn_1m_minus_dqn_500k,130.0,20.3125,0.7262560530587892,-258,,,,,,
789,1019,460.0,1.0823529411764703,425.0,1030.0,1.279503105590062,805.0,dqn_1m_minus_dqn_500k,570.0,123.91304347826086,0.1971501644135918,380,,,,,,
789,1020,410.0,0.624048706240487,657.0,960.0,1.5023474178403755,639.0,dqn_1m_minus_dqn_500k,550.0,134.14634146341464,0.8782987115998885,-18,,,,,,
789,1021,1150.0,1.080827067669173,1064.0,770.0,1.5975103734439835,482.0,dqn_1m_minus_dqn_500k,-380.0,-33.04347826086956,0.5166833057748106,-582,,,,,,
789,1022,640.0,0.8602150537634409,744.0,770.0,1.5843621399176957,486.0,dqn_1m_minus_dqn_500k,130.0,20.3125,0.7241470861542548,-258,,,,,,
789,1023,640.0,0.863697705802969,741.0,770.0,1.5942028985507246,483.0,dqn_1m_minus_dqn_500k,130.0,20.3125,0.7305051927477556,-258,,,,,,
789,1024,460.0,1.07981220657277,426.0,1030.0,1.2779156327543424,806.0,dqn_1m_minus_dqn_500k,570.0,123.91304347826086,0.1981034261815724,380,,,,,,
