episode_id,agent_name,reward_total,score,episode_length,steps,score_per_step,reward_per_step,lives_lost,seed,model_path,timestamp,variant
42,dqn_500k_seed123,940.0,,797,797,,1.179422835633626,,1042,models/dqn_500k_seed123.zip,2026-06-07T13:05:44,dqn_seed123
43,dqn_500k_seed123,1390.0,,862,862,,1.6125290023201857,,1043,models/dqn_500k_seed123.zip,2026-06-07T13:05:48,dqn_seed123
44,dqn_500k_seed123,1390.0,,857,857,,1.6219369894982496,,1044,models/dqn_500k_seed123.zip,2026-06-07T13:05:52,dqn_seed123
45,dqn_500k_seed123,940.0,,791,791,,1.1883691529709228,,1045,models/dqn_500k_seed123.zip,2026-06-07T13:05:55,dqn_seed123
46,dqn_500k_seed123,1390.0,,858,858,,1.62004662004662,,1046,models/dqn_500k_seed123.zip,2026-06-07T13:05:59,dqn_seed123
47,dqn_500k_seed123,1390.0,,863,863,,1.6106604866743917,,1047,models/dqn_500k_seed123.zip,2026-06-07T13:06:03,dqn_seed123
48,dqn_500k_seed123,1390.0,,862,862,,1.6125290023201857,,1048,models/dqn_500k_seed123.zip,2026-06-07T13:06:06,dqn_seed123
49,dqn_500k_seed123,1390.0,,863,863,,1.6106604866743917,,1049,models/dqn_500k_seed123.zip,2026-06-07T13:06:10,dqn_seed123
0,dqn_reward_500k_alpha0p001_seed123,510.0,,488,488,,1.0450819672131149,,1000,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:18,alpha0p001_beta1_seed123
1,dqn_reward_500k_alpha0p001_seed123,1420.0,,661,661,,2.1482602118003027,,1001,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:20,alpha0p001_beta1_seed123
2,dqn_reward_500k_alpha0p001_seed123,1420.0,,665,665,,2.1353383458646618,,1002,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:22,alpha0p001_beta1_seed123
3,dqn_reward_500k_alpha0p001_seed123,1420.0,,668,668,,2.125748502994012,,1003,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:25,alpha0p001_beta1_seed123
4,dqn_reward_500k_alpha0p001_seed123,1420.0,,666,666,,2.1321321321321323,,1004,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:28,alpha0p001_beta1_seed123
5,dqn_reward_500k_alpha0p001_seed123,570.0,,485,485,,1.175257731958763,,1005,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:30,alpha0p001_beta1_seed123
6,dqn_reward_500k_alpha0p001_seed123,1000.0,,815,815,,1.2269938650306749,,1006,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:33,alpha0p001_beta1_seed123
7,dqn_reward_500k_alpha0p001_seed123,570.0,,485,485,,1.175257731958763,,1007,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:36,alpha0p001_beta1_seed123
8,dqn_reward_500k_alpha0p001_seed123,1000.0,,812,812,,1.2315270935960592,,1008,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:39,alpha0p001_beta1_seed123
9,dqn_reward_500k_alpha0p001_seed123,510.0,,494,494,,1.0323886639676114,,1009,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:41,alpha0p001_beta1_seed123
10,dqn_reward_500k_alpha0p001_seed123,1000.0,,810,810,,1.2345679012345678,,1010,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:45,alpha0p001_beta1_seed123
11,dqn_reward_500k_alpha0p001_seed123,570.0,,487,487,,1.1704312114989732,,1011,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:47,alpha0p001_beta1_seed123
12,dqn_reward_500k_alpha0p001_seed123,1420.0,,668,668,,2.125748502994012,,1012,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:50,alpha0p001_beta1_seed123
13,dqn_reward_500k_alpha0p001_seed123,1000.0,,811,811,,1.2330456226880395,,1013,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:54,alpha0p001_beta1_seed123
14,dqn_reward_500k_alpha0p001_seed123,1000.0,,814,814,,1.2285012285012284,,1014,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:17:57,alpha0p001_beta1_seed123
15,dqn_reward_500k_alpha0p001_seed123,1420.0,,661,661,,2.1482602118003027,,1015,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:00,alpha0p001_beta1_seed123
16,dqn_reward_500k_alpha0p001_seed123,570.0,,482,482,,1.1825726141078838,,1016,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:02,alpha0p001_beta1_seed123
17,dqn_reward_500k_alpha0p001_seed123,570.0,,486,486,,1.1728395061728396,,1017,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:05,alpha0p001_beta1_seed123
18,dqn_reward_500k_alpha0p001_seed123,1000.0,,813,813,,1.2300123001230012,,1018,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:08,alpha0p001_beta1_seed123
19,dqn_reward_500k_alpha0p001_seed123,1420.0,,661,661,,2.1482602118003027,,1019,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:11,alpha0p001_beta1_seed123
20,dqn_reward_500k_alpha0p001_seed123,510.0,,487,487,,1.0472279260780288,,1020,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:13,alpha0p001_beta1_seed123
21,dqn_reward_500k_alpha0p001_seed123,570.0,,482,482,,1.1825726141078838,,1021,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:16,alpha0p001_beta1_seed123
22,dqn_reward_500k_alpha0p001_seed123,1000.0,,814,814,,1.2285012285012284,,1022,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:19,alpha0p001_beta1_seed123
23,dqn_reward_500k_alpha0p001_seed123,1000.0,,811,811,,1.2330456226880395,,1023,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:23,alpha0p001_beta1_seed123
24,dqn_reward_500k_alpha0p001_seed123,1420.0,,662,662,,2.1450151057401814,,1024,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:26,alpha0p001_beta1_seed123
25,dqn_reward_500k_alpha0p001_seed123,510.0,,490,490,,1.0408163265306123,,1025,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:28,alpha0p001_beta1_seed123
26,dqn_reward_500k_alpha0p001_seed123,510.0,,488,488,,1.0450819672131149,,1026,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:30,alpha0p001_beta1_seed123
27,dqn_reward_500k_alpha0p001_seed123,1000.0,,813,813,,1.2300123001230012,,1027,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:34,alpha0p001_beta1_seed123
28,dqn_reward_500k_alpha0p001_seed123,1420.0,,666,666,,2.1321321321321323,,1028,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:37,alpha0p001_beta1_seed123
29,dqn_reward_500k_alpha0p001_seed123,510.0,,489,489,,1.0429447852760736,,1029,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:39,alpha0p001_beta1_seed123
30,dqn_reward_500k_alpha0p001_seed123,1000.0,,811,811,,1.2330456226880395,,1030,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:42,alpha0p001_beta1_seed123
31,dqn_reward_500k_alpha0p001_seed123,1000.0,,813,813,,1.2300123001230012,,1031,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:46,alpha0p001_beta1_seed123
32,dqn_reward_500k_alpha0p001_seed123,510.0,,490,490,,1.0408163265306123,,1032,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:48,alpha0p001_beta1_seed123
33,dqn_reward_500k_alpha0p001_seed123,570.0,,482,482,,1.1825726141078838,,1033,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:50,alpha0p001_beta1_seed123
34,dqn_reward_500k_alpha0p001_seed123,510.0,,490,490,,1.0408163265306123,,1034,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:53,alpha0p001_beta1_seed123
35,dqn_reward_500k_alpha0p001_seed123,570.0,,482,482,,1.1825726141078838,,1035,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:55,alpha0p001_beta1_seed123
