variant,episodes,mean_reward,median_reward,std_reward,min_reward,max_reward,mean_steps,median_steps,mean_reward_per_step,median_reward_per_step,sem_reward,ci95_reward
dqn_seed123,50,1105.6,940.0,229.53511135976294,850.0,1390.0,842.32,858.0,1.3340139544781966,1.1883691529709228,32.461166752579544,63.623886835055906
alpha0p001_beta1_seed123,50,884.8,1000.0,375.1257748259583,510.0,1420.0,618.12,661.0,1.3999497920102186,1.2277475467659515,53.050795835458594,103.97955983749884
alpha0p0001_beta1_seed123,50,748.0,710.0,91.60696881075083,680.0,900.0,623.32,490.0,1.2537688893428627,1.4182954343803078,12.955181770005293,25.392156269210375
alpha0p001_beta0p5_seed123,50,697.0,670.0,363.43177222310175,320.0,1270.0,544.48,683.0,1.2283120896750006,1.0416666666666667,51.397014127519995,100.73814768993918
alpha0p0005_beta1_seed123,50,561.2,550.0,68.11275166057753,470.0,670.0,538.12,550.0,1.0473428497385628,1.0189982728842832,9.63259771689393,18.8798915251121
alpha0p01_beta1_seed123,50,514.0,440.0,194.84164161216276,330.0,890.0,431.44,374.5,1.1698797424813456,1.1924119241192412,27.554769208295856,54.00734764825987
