agent_group,agent_label,episodes,performance_mean,performance_median,performance_std,performance_min,performance_max,performance_per_step_mean,performance_per_step_median,performance_per_step_std,score_available_episodes,score_mean,score_median,score_std,reward_mean,reward_median,reward_std,reward_min,reward_max,steps_mean,steps_median,steps_std,reward_per_step_mean,reward_per_step_median,reward_per_step_std,performance_sem,performance_ci95,performance_per_step_sem,performance_per_step_ci95
random,Random,50,280.0,230.0,168.75292892393946,140.0,1010.0,0.5341549218301598,0.47046874401134486,0.20825120503680913,0,0.0,0.0,0.0,280.0,230.0,168.75292892393946,140.0,1010.0,505.92,499.0,76.23161270437747,0.5341549218301598,0.47046874401134486,0.20825120503680913,23.86526807744181,46.77592543178595,0.029451167854359566,0.05772428899454475
dqn,DQN,150,795.6,680.0,301.5362900683564,410.0,1390.0,1.1750346390384536,1.1801636791233456,0.32242443095025214,0,0.0,0.0,0.0,795.6,680.0,301.5362900683564,410.0,1390.0,684.5466666666666,663.0,190.9023991350703,1.1750346390384536,1.1801636791233456,0.32242443095025214,24.6203349866444,48.255856573823024,0.026325844547844857,0.05159865531377592
dqn_reward_alpha0p001,DQN reward alpha=0.001,150,658.5333333333333,580.0,349.226156347724,130.0,1420.0,1.1300567130414239,1.103202846975089,0.4173055058718191,0,0.0,0.0,0.0,658.5333333333333,580.0,349.226156347724,130.0,1420.0,557.04,560.5,175.29139230083464,1.1300567130414239,1.103202846975089,0.4173055058718191,28.514196262844813,55.88782467517583,0.034072851874665536,0.06678278967434445
dqn_reward_alpha0p01,DQN reward alpha=0.01,150,574.8,540.0,203.3567962404532,260.0,950.0,1.2596084609500762,1.2134831460674158,0.23891458357281056,0,0.0,0.0,0.0,574.8,540.0,203.3567962404532,260.0,950.0,446.92,443.0,105.71523862647405,1.2596084609500762,1.2134831460674158,0.23891458357281056,16.60401288387463,32.543865252394276,0.019507294062097127,0.03823429636171037
