episode_id,agent_name,reward_total,score,episode_length,steps,score_per_step,reward_per_step,lives_lost,seed,model_path,timestamp,source_file,agent_group,agent_label,algorithm_family,training_seed,training_timesteps,reward_alpha,evaluation_seed,performance_total,performance_per_step
23,dqn_500k_seed123,850.0,,953,953,,0.8919202518363064,,1023,models/dqn_500k_seed123.zip,2026-06-07T13:04:34,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1023,850.0,0.8919202518363064
24,dqn_500k_seed123,940.0,,792,792,,1.1868686868686869,,1024,models/dqn_500k_seed123.zip,2026-06-07T13:04:38,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1024,940.0,1.1868686868686869
25,dqn_500k_seed123,1390.0,,860,860,,1.6162790697674418,,1025,models/dqn_500k_seed123.zip,2026-06-07T13:04:41,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1025,1390.0,1.6162790697674418
26,dqn_500k_seed123,1390.0,,858,858,,1.62004662004662,,1026,models/dqn_500k_seed123.zip,2026-06-07T13:04:45,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1026,1390.0,1.62004662004662
27,dqn_500k_seed123,850.0,,955,955,,0.8900523560209425,,1027,models/dqn_500k_seed123.zip,2026-06-07T13:04:49,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1027,850.0,0.8900523560209425
28,dqn_500k_seed123,940.0,,796,796,,1.1809045226130652,,1028,models/dqn_500k_seed123.zip,2026-06-07T13:04:53,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1028,940.0,1.1809045226130652
29,dqn_500k_seed123,1390.0,,859,859,,1.6181606519208382,,1029,models/dqn_500k_seed123.zip,2026-06-07T13:04:57,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1029,1390.0,1.6181606519208382
30,dqn_500k_seed123,850.0,,953,953,,0.8919202518363064,,1030,models/dqn_500k_seed123.zip,2026-06-07T13:05:01,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1030,850.0,0.8919202518363064
31,dqn_500k_seed123,850.0,,955,955,,0.8900523560209425,,1031,models/dqn_500k_seed123.zip,2026-06-07T13:05:05,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1031,850.0,0.8900523560209425
32,dqn_500k_seed123,1390.0,,860,860,,1.6162790697674418,,1032,models/dqn_500k_seed123.zip,2026-06-07T13:05:09,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1032,1390.0,1.6162790697674418
33,dqn_500k_seed123,1240.0,,718,718,,1.7270194986072422,,1033,models/dqn_500k_seed123.zip,2026-06-07T13:05:12,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1033,1240.0,1.7270194986072422
34,dqn_500k_seed123,1390.0,,860,860,,1.6162790697674418,,1034,models/dqn_500k_seed123.zip,2026-06-07T13:05:15,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1034,1390.0,1.6162790697674418
35,dqn_500k_seed123,1240.0,,718,718,,1.7270194986072422,,1035,models/dqn_500k_seed123.zip,2026-06-07T13:05:19,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1035,1240.0,1.7270194986072422
36,dqn_500k_seed123,850.0,,953,953,,0.8919202518363064,,1036,models/dqn_500k_seed123.zip,2026-06-07T13:05:23,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1036,850.0,0.8919202518363064
37,dqn_500k_seed123,850.0,,956,956,,0.8891213389121339,,1037,models/dqn_500k_seed123.zip,2026-06-07T13:05:27,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1037,850.0,0.8891213389121339
38,dqn_500k_seed123,1390.0,,859,859,,1.6181606519208382,,1038,models/dqn_500k_seed123.zip,2026-06-07T13:05:31,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1038,1390.0,1.6181606519208382
39,dqn_500k_seed123,940.0,,793,793,,1.185372005044136,,1039,models/dqn_500k_seed123.zip,2026-06-07T13:05:34,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1039,940.0,1.185372005044136
40,dqn_500k_seed123,1240.0,,724,724,,1.712707182320442,,1040,models/dqn_500k_seed123.zip,2026-06-07T13:05:37,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1040,1240.0,1.712707182320442
41,dqn_500k_seed123,940.0,,796,796,,1.1809045226130652,,1041,models/dqn_500k_seed123.zip,2026-06-07T13:05:41,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1041,940.0,1.1809045226130652
42,dqn_500k_seed123,940.0,,797,797,,1.179422835633626,,1042,models/dqn_500k_seed123.zip,2026-06-07T13:05:44,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1042,940.0,1.179422835633626
43,dqn_500k_seed123,1390.0,,862,862,,1.6125290023201857,,1043,models/dqn_500k_seed123.zip,2026-06-07T13:05:48,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1043,1390.0,1.6125290023201857
44,dqn_500k_seed123,1390.0,,857,857,,1.6219369894982496,,1044,models/dqn_500k_seed123.zip,2026-06-07T13:05:52,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1044,1390.0,1.6219369894982496
45,dqn_500k_seed123,940.0,,791,791,,1.1883691529709228,,1045,models/dqn_500k_seed123.zip,2026-06-07T13:05:55,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1045,940.0,1.1883691529709228
46,dqn_500k_seed123,1390.0,,858,858,,1.62004662004662,,1046,models/dqn_500k_seed123.zip,2026-06-07T13:05:59,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1046,1390.0,1.62004662004662
47,dqn_500k_seed123,1390.0,,863,863,,1.6106604866743917,,1047,models/dqn_500k_seed123.zip,2026-06-07T13:06:03,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1047,1390.0,1.6106604866743917
48,dqn_500k_seed123,1390.0,,862,862,,1.6125290023201857,,1048,models/dqn_500k_seed123.zip,2026-06-07T13:06:06,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1048,1390.0,1.6125290023201857
49,dqn_500k_seed123,1390.0,,863,863,,1.6106604866743917,,1049,models/dqn_500k_seed123.zip,2026-06-07T13:06:10,dqn_500k_seed123_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,123.0,500000.0,,1049,1390.0,1.6106604866743917
0,dqn_500k_seed456,600.0,,470,470,,1.2765957446808511,,1000,models/dqn_500k_seed456.zip,2026-06-07T13:06:19,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1000,600.0,1.2765957446808511
1,dqn_500k_seed456,680.0,,495,495,,1.3737373737373737,,1001,models/dqn_500k_seed456.zip,2026-06-07T13:06:20,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1001,680.0,1.3737373737373737
2,dqn_500k_seed456,680.0,,499,499,,1.3627254509018036,,1002,models/dqn_500k_seed456.zip,2026-06-07T13:06:22,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1002,680.0,1.3627254509018036
3,dqn_500k_seed456,680.0,,502,502,,1.3545816733067728,,1003,models/dqn_500k_seed456.zip,2026-06-07T13:06:24,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1003,680.0,1.3545816733067728
4,dqn_500k_seed456,680.0,,500,500,,1.36,,1004,models/dqn_500k_seed456.zip,2026-06-07T13:06:26,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1004,680.0,1.36
5,dqn_500k_seed456,630.0,,661,661,,0.9531013615733736,,1005,models/dqn_500k_seed456.zip,2026-06-07T13:06:29,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1005,630.0,0.9531013615733736
6,dqn_500k_seed456,750.0,,491,491,,1.5274949083503055,,1006,models/dqn_500k_seed456.zip,2026-06-07T13:06:31,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1006,750.0,1.5274949083503055
7,dqn_500k_seed456,630.0,,661,661,,0.9531013615733736,,1007,models/dqn_500k_seed456.zip,2026-06-07T13:06:34,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1007,630.0,0.9531013615733736
8,dqn_500k_seed456,750.0,,488,488,,1.536885245901639,,1008,models/dqn_500k_seed456.zip,2026-06-07T13:06:36,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1008,750.0,1.536885245901639
9,dqn_500k_seed456,600.0,,476,476,,1.2605042016806722,,1009,models/dqn_500k_seed456.zip,2026-06-07T13:06:38,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1009,600.0,1.2605042016806722
10,dqn_500k_seed456,750.0,,486,486,,1.5432098765432098,,1010,models/dqn_500k_seed456.zip,2026-06-07T13:06:40,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1010,750.0,1.5432098765432098
11,dqn_500k_seed456,630.0,,663,663,,0.9502262443438914,,1011,models/dqn_500k_seed456.zip,2026-06-07T13:06:43,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1011,630.0,0.9502262443438914
12,dqn_500k_seed456,680.0,,502,502,,1.3545816733067728,,1012,models/dqn_500k_seed456.zip,2026-06-07T13:06:46,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1012,680.0,1.3545816733067728
13,dqn_500k_seed456,750.0,,487,487,,1.540041067761807,,1013,models/dqn_500k_seed456.zip,2026-06-07T13:06:48,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1013,750.0,1.540041067761807
14,dqn_500k_seed456,750.0,,490,490,,1.530612244897959,,1014,models/dqn_500k_seed456.zip,2026-06-07T13:06:50,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1014,750.0,1.530612244897959
15,dqn_500k_seed456,680.0,,495,495,,1.3737373737373737,,1015,models/dqn_500k_seed456.zip,2026-06-07T13:06:52,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1015,680.0,1.3737373737373737
16,dqn_500k_seed456,630.0,,658,658,,0.9574468085106383,,1016,models/dqn_500k_seed456.zip,2026-06-07T13:06:55,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1016,630.0,0.9574468085106383
17,dqn_500k_seed456,630.0,,662,662,,0.9516616314199396,,1017,models/dqn_500k_seed456.zip,2026-06-07T13:06:58,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1017,630.0,0.9516616314199396
18,dqn_500k_seed456,750.0,,489,489,,1.5337423312883436,,1018,models/dqn_500k_seed456.zip,2026-06-07T13:07:00,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1018,750.0,1.5337423312883436
19,dqn_500k_seed456,680.0,,495,495,,1.3737373737373737,,1019,models/dqn_500k_seed456.zip,2026-06-07T13:07:02,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1019,680.0,1.3737373737373737
20,dqn_500k_seed456,600.0,,469,469,,1.279317697228145,,1020,models/dqn_500k_seed456.zip,2026-06-07T13:07:05,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1020,600.0,1.279317697228145
21,dqn_500k_seed456,630.0,,658,658,,0.9574468085106383,,1021,models/dqn_500k_seed456.zip,2026-06-07T13:07:08,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1021,630.0,0.9574468085106383
22,dqn_500k_seed456,750.0,,490,490,,1.530612244897959,,1022,models/dqn_500k_seed456.zip,2026-06-07T13:07:10,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1022,750.0,1.530612244897959
23,dqn_500k_seed456,750.0,,487,487,,1.540041067761807,,1023,models/dqn_500k_seed456.zip,2026-06-07T13:07:12,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1023,750.0,1.540041067761807
24,dqn_500k_seed456,680.0,,496,496,,1.3709677419354838,,1024,models/dqn_500k_seed456.zip,2026-06-07T13:07:14,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1024,680.0,1.3709677419354838
25,dqn_500k_seed456,600.0,,472,472,,1.271186440677966,,1025,models/dqn_500k_seed456.zip,2026-06-07T13:07:16,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1025,600.0,1.271186440677966
26,dqn_500k_seed456,600.0,,470,470,,1.2765957446808511,,1026,models/dqn_500k_seed456.zip,2026-06-07T13:07:18,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1026,600.0,1.2765957446808511
27,dqn_500k_seed456,750.0,,489,489,,1.5337423312883436,,1027,models/dqn_500k_seed456.zip,2026-06-07T13:07:20,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1027,750.0,1.5337423312883436
28,dqn_500k_seed456,680.0,,500,500,,1.36,,1028,models/dqn_500k_seed456.zip,2026-06-07T13:07:23,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1028,680.0,1.36
29,dqn_500k_seed456,600.0,,471,471,,1.2738853503184713,,1029,models/dqn_500k_seed456.zip,2026-06-07T13:07:25,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1029,600.0,1.2738853503184713
30,dqn_500k_seed456,750.0,,487,487,,1.540041067761807,,1030,models/dqn_500k_seed456.zip,2026-06-07T13:07:27,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1030,750.0,1.540041067761807
